location,new_deaths,total_vaccinations
Kazakhstan,3,17622972
Kazakhstan,2,17643308
Kazakhstan,0,17663299
Kazakhstan,0,17676183
Kazakhstan,25,17683075
Kazakhstan,8,17702832
Kazakhstan,12,17725973
Kazakhstan,12,17748892
Kazakhstan,7,17772417
Kazakhstan,0,17794582
Kazakhstan,0,17807668
Kazakhstan,34,17816568
Kazakhstan,12,17839238
Kazakhstan,12,17861309
Kazakhstan,15,17882989
Kazakhstan,24,17902193
Kazakhstan,0,17934008
Kazakhstan,54,17941272
Kazakhstan,20,17961233
Kazakhstan,19,17979054
Kazakhstan,23,17998334
Kazakhstan,30,18034375
Kazakhstan,0,18045037
Kazakhstan,60,18054135
Kazakhstan,12,18074321
Kazakhstan,21,18093856
Kazakhstan,23,18114802
Kazakhstan,20,18134610
Kazakhstan,0,18155015
Kazakhstan,0,20273902
Kazakhstan,45,20297258
Kazakhstan,15,20360105
Kazakhstan,11,20424314
Kazakhstan,29,20473033
Kazakhstan,15,20550682
Kazakhstan,0,20613121
Kazakhstan,16,20671873
Kazakhstan,5,20729169
Kazakhstan,10,20787319
Kazakhstan,11,20843546
Kazakhstan,13,20860829
Kazakhstan,0,20875072
Kazakhstan,0,20875964
Kazakhstan,31,20884314
Kazakhstan,10,20890962
Kazakhstan,11,20906189
Kazakhstan,5,20918681
